,HORA,ID_ESTADO,LAT,LON,NUM_DERBIS,NUM_LIBRES,NUM_OCUPADOS,TIMESTAMP,TIPO_DIA
0,23:22,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-03 23:22:16,WD
0,23:52,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-03 23:52:18,WD
0,00:22,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-04 00:22:19,WD
0,00:52,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-04 00:52:20,WD
0,01:22,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-04 01:22:22,WD
0,01:52,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-04 01:52:23,WD
0,02:22,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-04 02:22:24,WD
0,02:52,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-04 02:52:26,WD
0,03:22,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-04 03:22:27,WD
0,03:52,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-04 03:52:28,WD
0,04:22,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-04 04:22:31,WD
0,04:52,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-04 04:52:32,WD
0,05:22,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-04 05:22:34,WD
0,05:52,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-04 05:52:35,WD
0,06:22,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-04 06:22:38,WD
0,06:52,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-04 06:52:39,WD
0,07:22,5.0,36.715627000000005,-4.421376,255.0,11.0,4.0,2017-05-04 07:22:40,WD
0,07:52,5.0,36.715627000000005,-4.421376,255.0,13.0,2.0,2017-05-04 07:52:41,WD
